dataset,filename,score,path
aihub,ID2303.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2303.png
aihub,ID2304.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2304.png
aihub,ID2305.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2305.png
aihub,ID2306.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2306.png
aihub,ID2307.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2307.png
aihub,ID2308.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2308.png
aihub,ID2310.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2310.png
aihub,ID2313.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2313.png
aihub,ID2314.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2314.png
aihub,ID2315.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2315.png
aihub,ID2316.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2316.png
aihub,ID2317.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2317.png
aihub,ID2318.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2318.png
aihub,ID2321.png,1,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2321.png
aihub,ID2322.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2322.png
aihub,ID2323.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2323.png
aihub,ID2324.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2324.png
aihub,ID2325.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2325.png
aihub,ID2326.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2326.png
aihub,ID2327.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2327.png
aihub,ID2328.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2328.png
aihub,ID2330.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2330.png
aihub,ID2335.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2335.png
aihub,ID2336.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2336.png
aihub,ID2338.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2338.png
aihub,ID2339.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2339.png
aihub,ID2342.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2342.png
aihub,ID2345.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2345.png
aihub,ID2346.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2346.png
aihub,ID2354.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2354.png
aihub,ID2356.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2356.png
aihub,ID2358.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2358.png
aihub,ID2360.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2360.png
aihub,ID2361.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2361.png
aihub,ID2363.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2363.png
aihub,ID2367.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2367.png
aihub,ID2368.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2368.png
aihub,ID2370.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2370.png
aihub,ID2371.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2371.png
aihub,ID2372.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2372.png
aihub,ID2374.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2374.png
aihub,ID2375.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2375.png
aihub,ID2377.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2377.png
aihub,ID2378.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2378.png
aihub,ID2379.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2379.png
aihub,ID2381.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2381.png
aihub,ID2382.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2382.png
aihub,ID2385.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2385.png
aihub,ID2386.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2386.png
aihub,ID2387.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2387.png
aihub,ID2391.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2391.png
aihub,ID2392.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2392.png
aihub,ID2401.png,5,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2401.png
aihub,ID2402.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2402.png
aihub,ID2403.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2403.png
aihub,ID2404.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2404.png
aihub,ID2405.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2405.png
aihub,ID2409.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2409.png
aihub,ID2410.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2410.png
aihub,ID2411.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2411.png
aihub,ID2413.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2413.png
aihub,ID2414.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2414.png
aihub,ID2415.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2415.png
aihub,ID2419.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2419.png
aihub,ID2420.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2420.png
aihub,ID2423.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2423.png
aihub,ID2424.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2424.png
aihub,ID2425.png,1,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2425.png
aihub,ID2426.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2426.png
aihub,ID2429.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2429.png
aihub,ID2430.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2430.png
aihub,ID2431.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2431.png
aihub,ID2436.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2436.png
aihub,ID2438.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2438.png
aihub,ID2442.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2442.png
aihub,ID2444.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2444.png
aihub,ID2446.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2446.png
aihub,ID2447.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2447.png
aihub,ID2449.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2449.png
aihub,ID2450.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2450.png
aihub,ID2451.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2451.png
aihub,ID2452.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2452.png
aihub,ID2453.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2453.png
aihub,ID2455.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2455.png
aihub,ID2456.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2456.png
aihub,ID2457.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2457.png
aihub,ID2458.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2458.png
aihub,ID2459.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2459.png
aihub,ID2460.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2460.png
aihub,ID2462.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2462.png
aihub,ID2463.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2463.png
aihub,ID2467.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2467.png
aihub,ID2468.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2468.png
aihub,ID2469.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2469.png
aihub,ID2470.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2470.png
aihub,ID2471.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2471.png
aihub,ID2472.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2472.png
aihub,ID2474.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2474.png
aihub,ID2475.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2475.png
aihub,ID2476.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2476.png
aihub,ID2477.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2477.png
aihub,ID2478.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2478.png
aihub,ID2479.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2479.png
aihub,ID2481.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2481.png
aihub,ID2482.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2482.png
aihub,ID2483.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2483.png
aihub,ID2485.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2485.png
aihub,ID2489.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2489.png
aihub,ID2491.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2491.png
aihub,ID2492.png,4,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2492.png
aihub,ID2495.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2495.png
aihub,ID2502.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2502.png
aihub,ID2506.png,1,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2506.png
aihub,ID2510.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2510.png
aihub,ID2514.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2514.png
aihub,ID2515.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2515.png
aihub,ID2517.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2517.png
aihub,ID2518.png,1,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2518.png
aihub,ID2520.png,3,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2520.png
aihub,ID2522.png,5,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2522.png
aihub,ID2526.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2526.png
aihub,ID2530.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2530.png
aihub,ID2539.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2539.png
aihub,ID2546.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2546.png
aihub,ID2548.png,2,C:\Users\한국전파진흥협회\Desktop\dataset\combined\images\aihub\ID2548.png
